indicator_id,Date,Hour,geo_id,value
1777,2024-07-19,16,8741,3152.5
1777,2024-07-19,17,8741,3728.8
1777,2024-07-19,18,8741,4147.0
1777,2024-07-19,19,8741,4514.3
1777,2024-07-19,20,8741,4750.5
1777,2024-07-19,21,8741,4802.8
1777,2024-07-19,22,8741,4867.8
1777,2024-07-19,23,8741,5133.0
1777,2024-07-19,24,8741,5471.0
1777,2024-07-20,1,8741,4870.0
1777,2024-07-20,2,8741,4747.8
1777,2024-07-20,3,8741,4471.0
1777,2024-07-20,4,8741,4062.8
1777,2024-07-20,5,8741,4001.8
1777,2024-07-20,6,8741,3808.3
1777,2024-07-20,7,8741,3958.0
1777,2024-07-20,8,8741,3947.8
1777,2024-07-20,9,8741,3672.5
1777,2024-07-20,10,8741,3590.5
1777,2024-07-20,11,8741,3892.8
1777,2024-07-20,12,8741,4727.3
1777,2024-07-20,13,8741,5816.0
1777,2024-07-20,14,8741,6949.0
1777,2024-07-20,15,8741,7916.8
1777,2024-07-20,16,8741,8692.5
1777,2024-07-20,17,8741,9338.3
1777,2024-07-20,18,8741,9823.0
1777,2024-07-20,19,8741,10183.8
1777,2024-07-20,20,8741,10444.5
1777,2024-07-20,21,8741,10726.5
1777,2024-07-20,22,8741,10980.3
1777,2024-07-20,23,8741,10969.0
1777,2024-07-20,24,8741,10703.5
1777,2024-07-21,1,8741,10728.3
1777,2024-07-21,2,8741,10504.3
1777,2024-07-21,3,8741,10459.5
1777,2024-07-21,4,8741,10202.8
1777,2024-07-21,5,8741,9860.0
1777,2024-07-21,6,8741,9495.8
1777,2024-07-21,7,8741,9122.3
1777,2024-07-21,8,8741,8663.0
1777,2024-07-21,9,8741,8113.8
1777,2024-07-21,10,8741,7544.3
1777,2024-07-21,11,8741,6969.3
1777,2024-07-21,12,8741,6828.8
1777,2024-07-21,13,8741,6827.0
1777,2024-07-21,14,8741,6882.3
1777,2024-07-21,15,8741,7028.3
1777,2024-07-21,16,8741,7150.5
1777,2024-07-21,17,8741,7192.5
1777,2024-07-21,18,8741,7468.0
1777,2024-07-21,19,8741,8038.0
1777,2024-07-21,20,8741,8318.8
1777,2024-07-21,21,8741,8716.0
1777,2024-07-21,22,8741,9134.3
1777,2024-07-21,23,8741,9569.8
1777,2024-07-21,24,8741,9752.8
1777,2024-07-22,1,8741,9291.3
1777,2024-07-22,2,8741,8912.5
1777,2024-07-22,3,8741,8478.8
1777,2024-07-22,4,8741,7936.3
1777,2024-07-22,5,8741,7543.8
1777,2024-07-22,6,8741,7153.8
1777,2024-07-22,7,8741,6780.0
1777,2024-07-22,8,8741,6392.0
1777,2024-07-22,9,8741,5760.0
1777,2024-07-22,10,8741,4969.5
1777,2024-07-22,11,8741,4314.3
1777,2024-07-22,12,8741,3866.3
1777,2024-07-22,13,8741,3553.8
1777,2024-07-22,14,8741,3431.3
1777,2024-07-22,15,8741,3566.0
1777,2024-07-22,16,8741,3837.5
1777,2024-07-22,17,8741,4259.3
1777,2024-07-22,18,8741,4853.5
1777,2024-07-22,19,8741,5553.0
1777,2024-07-22,20,8741,6357.8
1777,2024-07-22,21,8741,7115.5
1777,2024-07-22,22,8741,7859.5
1777,2024-07-22,23,8741,8542.5
1777,2024-07-22,24,8741,8736.0
1777,2024-07-23,1,8741,8879.5
1777,2024-07-23,2,8741,8465.5
1777,2024-07-23,3,8741,7882.0
1777,2024-07-23,4,8741,7224.0
1777,2024-07-23,5,8741,6585.8
1777,2024-07-23,6,8741,6004.8
1777,2024-07-23,7,8741,5491.8
1777,2024-07-23,8,8741,4989.3
1777,2024-07-23,9,8741,4353.8
1777,2024-07-23,10,8741,3695.0
1777,2024-07-23,11,8741,3208.0
1777,2024-07-23,12,8741,2944.5
1777,2024-07-23,13,8741,2809.0
1777,2024-07-23,14,8741,2745.0
1777,2024-07-23,15,8741,2812.8
1777,2024-07-23,16,8741,3025.0
